,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
190,Westlake,47.632489019725924,-122.34165148327193,Lakeview Deli,47.63260451129334,-122.34104247254488,Café
191,Westlake,47.632489019725924,-122.34165148327193,Olympic Hot Tub Seattle,47.631981,-122.34311000000001,Spa
192,Westlake,47.632489019725924,-122.34165148327193,Metro Bus Stop #6300,47.632234,-122.343436,Bus Stop
193,Westlake,47.632489019725924,-122.34165148327193,The Pot Shop,47.633844,-122.34206200000001,Herbs & Spices Store
194,Westlake,47.632489019725924,-122.34165148327193,Logic20/20 Inc.,47.632609094311675,-122.34098590633786,IT Services
195,Westlake,47.632489019725924,-122.34165148327193,Dexter Lake Union Apartment Roof Top,47.6302123265553,-122.34240758070234,Roof Deck
196,Westlake,47.632489019725924,-122.34165148327193,Lake Union Trail,47.62969328289954,-122.34013143569959,Trail
197,Westlake,47.632489019725924,-122.34165148327193,Waterworks Marina,47.634883545468185,-122.33896401749655,Harbor / Marina
198,Westlake,47.632489019725924,-122.34165148327193,Seattle Massage Oasis,47.635474,-122.339785,Massage Studio
199,Westlake,47.632489019725924,-122.34165148327193,Joyful Adventure,47.635478,-122.339427,Boat or Ferry
200,Westlake,47.632489019725924,-122.34165148327193,"Houseboat Community, Fairview",47.63557,-122.33933,Harbor / Marina
201,Westlake,47.632489019725924,-122.34165148327193,Like Place Market,47.628809870414926,-122.3429473129396,Cafeteria
202,Eastlake,47.64219980770673,-122.325461088481,Mammoth,47.64220906730317,-122.32603027181642,Sandwich Place
203,Eastlake,47.64219980770673,-122.325461088481,Pete's Supermarket & Wine Shop,47.63984148993716,-122.3290809348918,Grocery Store
204,Eastlake,47.64219980770673,-122.325461088481,Voxx Coffee,47.6396745628522,-122.32595909753105,Coffee Shop
205,Eastlake,47.64219980770673,-122.325461088481,Serafina,47.638110272572256,-122.32599432562361,Italian Restaurant
206,Eastlake,47.64219980770673,-122.325461088481,Terry's 14 Carrot Cafe,47.63992311069715,-122.32602577814956,Sandwich Place
207,Eastlake,47.64219980770673,-122.325461088481,Cicchetti,47.63809505791794,-122.326392276065,Italian Restaurant
208,Eastlake,47.64219980770673,-122.325461088481,Pagliacci Pizza,47.64148600711818,-122.31994059302973,Pizza Place
209,Eastlake,47.64219980770673,-122.325461088481,Abay Ethiopian Restaurant,47.6412303103596,-122.32004471535441,Ethiopian Restaurant
210,Eastlake,47.64219980770673,-122.325461088481,Hamlin Market and Deli,47.645431467199344,-122.32572902267758,Deli / Bodega
211,Eastlake,47.64219980770673,-122.325461088481,D' La Santa Mexican Cuisine & Grill,47.641318764438616,-122.32017075910271,Steakhouse
212,Eastlake,47.64219980770673,-122.325461088481,Starbucks,47.641053135164974,-122.32564836703435,Coffee Shop
213,Eastlake,47.64219980770673,-122.325461088481,Roanoke Park Place Tavern,47.641737756028654,-122.32034554074565,Bar
214,Eastlake,47.64219980770673,-122.325461088481,Pazzo's on Eastlake,47.640010472822695,-122.32595702960742,Pizza Place
